Region_Name,average_house_price,Lat,Long
York,337016.6708,-1.07375,53.9658
Wrexham,223519.336,-2.99203,53.0017
Worcestshire,333871.5375,-2.20935,52.219
Wolverhampton,228777.5571,-2.12746,52.5979
Wokingham,523435.152,-0.89935,51.423
Wirral,251241.2007,-3.06701,53.3748
Windsor and Maidenhead,694307.2447,-0.67541,51.4803
Wiltshire,389384.5817,-1.92661,51.3288
Wigan ,204847.9117,-2.57247,53.5145
West Sussex ,453798.2997,-0.45933,50.9513
West Northamptonshire,323616.3747,-1.01682,52.269
West Lothian,346470.0008,-3.60909,55.8992
West Dunbartonshire,327755.6402,-4.52074,56.0014
West Berkshire,490974.2088,-1.27364,51.4456
Warwickshire,346902.7648,-1.56874,52.1798
Warrington,286978.063,-2.56167,53.3916
Wandsworth ,1056731.654,-0.20021,51.4524
Waltham Forest,515738.89,-0.0188,51.5946
Walsall,252453.6669,-1.97044,52.605
Wakefield,226901.5277,-1.42092,53.6592
Vale of Glamorgan,305687.1892,-3.39801,51.4484
Trafford,371090.4702,-2.36572,53.4167
Tower Hamlets,610022.3669,-0.03647,51.5155
Torfaen,212303.6479,-3.05101,51.6984
Torbay,319016.8164,-3.55523,50.4709
Thurrock,368402.4777,0.334861,51.51
Telford and Wrekin,236944.8642,-2.48941,52.7142
Tameside,221865.3385,-2.077,53.4787
Swindon,354420.7863,-1.73367,51.5776
Swansea,224080.8241,-3.96723,51.6581
Sutton,613718.9282,-0.17226,51.3576
Surrey,613517.5295,-0.33911,51.268
Sunderland,222315.8661,-1.43344,54.8572
Suffolk,299377.7431,1.04919,52.2538
Stoke on Trent,162428.1361,-2.15888,53.0171
Stockton-on-Tees,208543.9964,-1.30664,54.5569
Stockport,318141.5447,-2.12467,53.3912
Stirling,439261.364,-4.32495,56.2495
Staffordshire,258977.6231,-2.02756,52.9093
Southwark,896684.8017,-0.07308,51.4659
Southend-on-Sea,372514.444,0.706923,51.5492
Southampton,342219.0913,-1.39952,50.9212
South Tyneside,244958.7117,-1.44679,54.9699
South Lanarkshire,333060.4128,-3.83272,55.6045
South Glocestershire,359347.6149,-2.46922,51.5467
South Ayreshire,371223.1045,-4.72899,55.2301
Somerset,328890.5553,-3.29595,51.0718
Solihull,413411.3259,-1.71558,52.431
Slough,442220.3288,-0.57617,51.5035
Shropshire,299015.2925,-2.73667,52.6221
Shetland Islands,180008.4499,-1.37344,60.505
Sheffield,241294.481,-1.54254,53.4036
Sefton,271620.0557,-2.99177,53.4821
Sandwell,223880.8564,-2.00771,52.5148
Salford,224250.899,-2.38485,53.4793
Rutland,351336.72,-0.6263,52.6676
Rotherham,192774.3944,-1.28651,53.3955
Rochdale,213245.9,-2.14784,53.6074
Richmond upon Thames,1001482.884,-0.28914,51.4403
Rhondda Cynon Taf,166623.6404,-3.41359,51.6218
Renfrewshire,346701.122,-4.56834,55.8486
Redcar and Cleveland,205844.4984,-1.00608,54.5675
Redbridge,626437.7767,0.070085,51.5859
Reading,492707.8893,-0.99071,51.453
Powys,233986.7573,-3.43531,52.3486
Portsmouth,378276.5261,-1.07006,50.808
Perth and Kinross,384883.8284,-3.88484,56.5753
Pembrokeshire,224282.7077,-4.90818,51.8551
Oxfordshire,488576.8906,-1.29146,51.7715
Orkney Islands,217991.0026,-2.90025,58.9433
Oldham,204252.589,-2.05274,53.5577
Nottinghamshire,232076.7941,-1.00656,53.1285
Northumberland,251067.111,-2.07523,55.3004
North Yorkshire,314522.9954,-1.55032,54.0937
North Tyneside,260649.5158,-1.50923,55.029
North Somerset,347679.8565,-2.75438,51.3971
North Northamptonshire,248323.2535,-0.62504,52.4255
North Lincolnshire,185633.7128,-0.52407,53.5864
North Lanarkshire,281560.2948,-3.9514,55.8681
North East Lincolnshire,185995.9582,-0.13911,53.5233
North Ayreshire,279743.8074,-4.7246,55.7279
Norfolk,267867.6325,0.964714,52.6712
Newport,268311.9134,-2.89769,51.5823
Newham,468276.8276,0.027261,51.5315
Newcastle upon Tyne,305505.7511,-1.65297,55.021
Neath Port Talbot,165658.6596,-3.74638,51.6445
Na h-Eileanan Siar,180072.2671,-6.65722,58.1994
Moray,284272.7135,-3.20202,57.4768
Monmouthshire,305706.886,-2.9028,51.7783
Milton Keynes,324090.5495,-0.7407,52.0724
Midlothian,431077.4158,-3.11738,55.8211
Middlesborough,191073.7235,-1.21099,54.5447
Merton,827981.7539,-0.18868,51.4106
Merthyr Tydfil,150652.107,-3.36425,51.7486
Medway,331411.3598,0.563174,51.4477
Manchester,209221.5207,-2.23359,53.4701
Luton,310468.8762,-0.42319,51.891
London,653139.7589,-0.09351,51.5156
Liverpool,223481.4206,-2.91364,53.4083
Lincolnshire,221133.0412,-0.23884,53.111
Lewisham,546467.0752,-0.01734,51.4423
Leicestershire,285810.9185,-1.3779,52.6878
Leicester,2444355.471,-1.1304,52.6359
Leeds,283113.4732,-1.50736,53.8227
Lancashire,231190.4285,-2.46091,53.8622
Lambeth,754842.9771,-0.11385,51.4645
Knowsley,207928.1639,-2.83297,53.4379
Kirklees,230287.1059,-1.78085,53.6423
Kingston upon Thames,697596.9506,-0.28367,51.393
Kent,384759.2098,0.72137,51.193
Kensington and Chelsea,2483765.091,-0.18977,51.4965
Islington,1066636.767,-0.10989,51.5455
Isle of Wight,38174370.3,-1.33366,50.6713
Isle of Anglesey,199038.507,-4.32298,53.2793
Inverclyde,359921.7273,-4.75387,55.9003
Hounslow,630073.4704,-0.37855,51.4624
Hillingdon,579026.2186,-0.44182,51.5366
Highland,319217.6767,-4.66103,57.5866
Hertforshire,442026.6879,-0.27699,51.8088
Havering,505710.4029,0.235368,51.5652
Hartlepool,187602.0864,-1.27018,54.6761
Harrow,734491.101,-0.33598,51.5947
Haringey,956812.1917,-0.1067,51.5877
Hampshire,435559.5604,-1.24735,51.0447
Hammersmith and Fulham,1098966.691,-0.21735,51.4873
Halton,220310.4992,-2.68853,53.3342
Hackney,641778.4506,-0.06045,51.5549
Gwynedd,210576.2821,-3.77715,52.8988
Greenwich,551623.6573,0.050093,51.4639
Gloucestershire,362746.8367,-2.15235,51.8197
Gateshead,233214.8482,-1.68694,54.9311
Flintshire,222819.1419,-3.18248,53.2147
Fife,324986.8809,-2.98251,56.2311
Falkirk,292125.7579,-3.83619,56.0008
Essex,382818.9143,0.54106,51.8098
Enfield,648730.4806,-0.08144,51.6489
East Sussex,383338.0358,0.334559,50.938
East Renfrewshire,538229.7298,-4.3606,55.7487
East Lothian,510811.7828,-2.72435,55.9421
East Ayreshire,266823.0828,-4.29057,55.4967
Ealing,762395.1889,-0.3141,51.5244
Dumfries and Galloway,310264.0053,-4.02863,55.0962
Dudley,258025.7767,-2.10171,52.4951
Dorset,382549.6444,-2.41467,50.797
Doncaster,186288.1404,-1.10894,53.527
Devon,347362.9367,-3.65698,50.7256
Derbyshire,233244.9627,-1.6021,53.0786
Denbighshire,196562.8412,-3.34761,53.0883
Darlington,232778.9809,-1.56835,54.5353
Cumbria,235884.4376,-2.90213,54.6364
